2019年08月21日-22:16:09 [stderr] 10028 10027: 黑洞文件打开失败 
2019年09月06日-16:34:08 [debug] 12481 12480: bind成功，socket：4，port：433
2019年09月06日-16:34:08 [debug] 12481 12480: 端口433监听成功
2019年09月06日-16:34:08 [debug] 12481 12480: bind成功，socket：5，port：10000
2019年09月06日-16:34:08 [debug] 12481 12480: 端口10000监听成功
2019年09月06日-16:34:08 [stderr] 12482 2712: 修改主进程成功 
2019年09月06日-20:44:10 [error] 14010 14009: bind失败，socket：4，port：433，端口已被使用
2019年09月06日-21:08:30 [debug] 14194 14193: bind成功，socket：4，port：433
2019年09月06日-21:08:30 [debug] 14194 14193: 端口433监听成功
2019年09月06日-21:08:30 [debug] 14194 14193: bind成功，socket：5，port：10000
2019年09月06日-21:08:30 [debug] 14194 14193: 端口10000监听成功
2019年09月06日-21:08:30 [stderr] 14195 2712: 修改主进程成功 
2019年09月06日-21:12:08 [debug] 14511 14510: bind成功，socket：4，port：433
2019年09月06日-21:12:08 [debug] 14511 14510: bind成功，socket：5，port：10000
2019年09月06日-21:12:08 [stderr] 14512 14511: 修改主进程成功 
2019年09月06日-21:13:11 [debug] 14563 14562: bind成功，socket：4，port：433
2019年09月06日-21:13:11 [debug] 14563 14562: bind成功，socket：5，port：10000
2019年09月06日-21:13:11 [stderr] 14564 14563: 修改主进程成功 
2019年09月06日-21:21:04 [debug] 14772 14771: bind成功，socket：4，port：433
2019年09月06日-21:21:04 [debug] 14772 14771: 端口433监听成功
2019年09月06日-21:21:04 [debug] 14772 14771: bind成功，socket：5，port：10000
2019年09月06日-21:21:04 [debug] 14772 14771: 端口10000监听成功
2019年09月06日-21:21:04 [stderr] 14773 14772: 修改主进程成功 
2019年09月06日-21:26:44 [stderr] 14944 2712: 修改主进程成功 
2019年09月06日-21:26:44 [debug] 14944 2712: bind成功，socket：5，port：433
2019年09月06日-21:26:44 [debug] 14944 2712: 端口433监听成功
2019年09月06日-21:26:44 [debug] 14944 2712: bind成功，socket：6，port：10000
2019年09月06日-21:26:44 [debug] 14944 2712: 端口10000监听成功
2019年09月06日-22:06:16 [debug] 15666 4563: bind成功，socket：4，port：9999
2019年09月06日-22:06:16 [debug] 15666 4563: 端口9999监听成功
2019年09月06日-22:06:16 [error] 15666 4563: bind失败，socket：5，port：10000，端口已被使用
2019年09月06日-22:06:59 [debug] 15679 4563: bind成功，socket：4，port：9999
2019年09月06日-22:06:59 [debug] 15679 4563: 端口9999监听成功
2019年09月06日-22:06:59 [debug] 15679 4563: bind成功，socket：5，port：10000
2019年09月06日-22:06:59 [debug] 15679 4563: 端口10000监听成功
2019年09月06日-22:06:59 [stderr] 15680 15679: 修改主进程成功 
2019年09月06日-22:08:51 [debug] 15768 4563: bind成功，socket：4，port：9999
2019年09月06日-22:08:51 [debug] 15768 4563: 端口9999监听成功
2019年09月06日-22:08:51 [debug] 15768 4563: bind成功，socket：5，port：10000
2019年09月06日-22:08:51 [debug] 15768 4563: 端口10000监听成功
2019年09月06日-22:08:51 [stderr] 15769 15768: 修改主进程成功 
